SBOID;SAID;DescriptionDE;DescriptionFR;DescriptionIT;DescriptionEN;AbbreviationDE;AbbreviationFR;AbbreviationIT;AbbreviationEN;OrganisationNumber;ContactEnterpriseMail;validFrom;validTo;types
ch:1:sboid:100801;100801;Intercontainer;Intercontainer;Intercontainer;Intercontainer;IC;IC;IC;IC;1007;;1900-01-01;2099-12-31;11
ch:1:sboid:101116;101116;Fähre Beckenried-Gersau;Fähre Beckenried-Gersau;Fähre Beckenried-Gersau;Fähre Beckenried-Gersau;FBG;FBG;FBG;FBG;3190;;1900-01-01;2099-12-31;22
ch:1:sboid:101117;101117;Wasserngrat 2000 AG;Wasserngrat 2000 AG;Wasserngrat 2000 AG;Wasserngrat 2000 AG;WG-wg;WG-wg;WG-wg;WG-wg;3191;;1900-01-01;2099-12-31;45
ch:1:sboid:101118;101118;Jaun-Gastlosen Bergbahnen AG;Jaun-Gastlosen Bergbahnen AG;Jaun-Gastlosen Bergbahnen AG;Jaun-Gastlosen Bergbahnen AG;SJAG-sjag;SJAG-sjag;SJAG-sjag;SJAG-sjag;3192;;1900-01-01;2099-12-31;45
ch:1:sboid:101119;101119;Nuova Carì Impianti Turistici SA;Nuova Carì Impianti Turistici SA;Nuova Carì Impianti Turistici SA;Nuova Carì Impianti Turistici SA;NCIT-ncit;NCIT-ncit;NCIT-ncit;NCIT-ncit;3193;;1900-01-01;2099-12-31;45
ch:1:sboid:101120;101120;Franz Weiss Sarnen (Sarnersee);Franz Weiss Sarnen (Sarnersee);Franz Weiss Sarnen (Sarnersee);Franz Weiss Sarnen (Sarnersee);FWS;FWS;FWS;FWS;3194;;1900-01-01;2099-12-31;22
ch:1:sboid:101121;101121;Politische Gemeinde Steckborn;Politische Gemeinde Steckborn;Politische Gemeinde Steckborn;Politische Gemeinde Steckborn;GSB;GSB;GSB;GSB;3195;;1900-01-01;2099-12-31;22
ch:1:sboid:101122;101122;Voralberg Lines Bodenseeschifffahrt;Voralberg Lines Bodenseeschifffahrt;Voralberg Lines Bodenseeschifffahrt;Voralberg Lines Bodenseeschifffahrt;VLB;VLB;VLB;VLB;3196;;1900-01-01;2099-12-31;22
ch:1:sboid:101123;101123;Flughafen Zürich AG;Flughafen Zürich AG;Flughafen Zürich AG;Flughafen Zürich AG;FZAG-zrh;FZAG-zrh;FZAG-zrh;FZAG-zrh;3197;;1900-01-01;2099-12-31;45
ch:1:sboid:101124;101124;Minoan Lines SA Griechenland;Minoan Lines SA Griechenland;Minoan Lines SA Griechenland;Minoan Lines SA Griechenland;MINOAN;MINOAN;MINOAN;MINOAN;3219;;1900-01-01;2099-12-31;95
ch:1:sboid:101126;101126;Westbahn;Westbahn;Westbahn;Westbahn;WB Bahn;WB Bahn;WB Bahn;WB Bahn;3236;;1900-01-01;2099-12-31;95
ch:1:sboid:101127;101127;Trenord;Trenord;Trenord;Trenord;Trenord;Trenord;Trenord;Trenord;3270;;1900-01-01;2099-12-31;95
ch:1:sboid:100717;100717;Wasteels-Superprovision;Wasteels-Superprovision;Wasteels-Superprovision;Wasteels-Superprovision;Wast-Super;Wast-Super;Wast-Super;Wast-Super;918;;1900-01-01;2011-12-31;95
ch:1:sboid:100721;100721;Verband Schweizerischer Schifffahrtsunternehmungen;Verband Schweizerischer Schifffahrtsunternehmungen;Verband Schweizerischer Schifffahrtsunternehmungen;Verband Schweizerischer Schifffahrtsunternehmungen;VSSU;VSSU;VSSU;VSSU;922;;1900-01-01;2014-12-13;95
ch:1:sboid:100723;100723;Heggli AG Kriens;Heggli AG Kriens;Heggli AG Kriens;Heggli AG Kriens;HAGK;HAGK;HAGK;HAGK;924;;1900-01-01;2014-12-13;95
ch:1:sboid:101509;101509;Vaglio Interlaken            O;Vaglio Interlaken            O;Vaglio Interlaken            O;Vaglio Interlaken            O;VAGLIO;VAGLIO;VAGLIO;VAGLIO;21652;;1900-01-01;2099-12-31;60
ch:1:sboid:101515;101515;Thurgau Travel Weinfelden    O;Thurgau Travel Weinfelden    O;Thurgau Travel Weinfelden    O;Thurgau Travel Weinfelden    O;TG TRAV WF;TG TRAV WF;TG TRAV WF;TG TRAV WF;21658;;1900-01-01;2099-12-31;60
ch:1:sboid:101516;101516;Carlson Genève               O;Carlson Genève               O;Carlson Genève               O;Carlson Genève               O;CARLSON;CARLSON;CARLSON;CARLSON;21660;;1900-01-01;2099-12-31;60
ch:1:sboid:101518;101518;Tours St. Moritz             O;Tours St. Moritz             O;Tours St. Moritz             O;Tours St. Moritz             O;TOURS SMOR;TOURS SMOR;TOURS SMOR;TOURS SMOR;21662;;1900-01-01;2099-12-31;60
ch:1:sboid:101519;101519;Jungfrau Interlaken          O;Jungfrau Interlaken          O;Jungfrau Interlaken          O;Jungfrau Interlaken          O;JUNGFRAU;JUNGFRAU;JUNGFRAU;JUNGFRAU;21663;;1900-01-01;2099-12-31;60
ch:1:sboid:101521;101521;VT Vacances Verbier     BK  O;VT Vacances Verbier     BK  O;VT Vacances Verbier     BK  O;VT Vacances Verbier     BK  O;VT VAC VEB;VT VAC VEB;VT VAC VEB;VT VAC VEB;21665;;1900-01-01;2099-12-31;60
ch:1:sboid:101522;101522;Indi Tours Aeugst am A. BK  O;Indi Tours Aeugst am A. BK  O;Indi Tours Aeugst am A. BK  O;Indi Tours Aeugst am A. BK  O;INDI T AEA;INDI T AEA;INDI T AEA;INDI T AEA;21666;;1900-01-01;2099-12-31;60
ch:1:sboid:101524;101524;Manta Reisen Zürich    BK  O;Manta Reisen Zürich    BK  O;Manta Reisen Zürich    BK  O;Manta Reisen Zürich    BK  O;MANTA  ZUE;MANTA  ZUE;MANTA  ZUE;MANTA  ZUE;21668;;1900-01-01;2099-12-31;60
ch:1:sboid:101525;101525;Output Manager Test        O;Output Manager Test        O;Output Manager Test        O;Output Manager Test        O;OUTPUT MAT;OUTPUT MAT;OUTPUT MAT;OUTPUT MAT;21669;;1900-01-01;2099-12-31;60
ch:1:sboid:101112;101112;Schiff Eglisau-Tössegg;Schiff Eglisau-Tössegg;Schiff Eglisau-Tössegg;Schiff Eglisau-Tössegg;SZR-ET;SZR-ET;SZR-ET;SZR-ET;3186;;1900-01-01;2099-12-31;22
ch:1:sboid:101113;101113;Schiff Eglisau-Rheinsfelden;Schiff Eglisau-Rheinsfelden;Schiff Eglisau-Rheinsfelden;Schiff Eglisau-Rheinsfelden;SZR-ER;SZR-ER;SZR-ER;SZR-ER;3187;;1900-01-01;2099-12-31;22
ch:1:sboid:101114;101114;Luftseilbahn Amsteg-Arni;Luftseilbahn Amsteg-Arni;Luftseilbahn Amsteg-Arni;Luftseilbahn Amsteg-Arni;LAA;LAA;LAA;LAA;3188;;1900-01-01;2099-12-31;12
ch:1:sboid:101634;101634;Switzerland Travel Centre    0;Switzerland Travel Centre    0;Switzerland Travel Centre    0;Switzerland Travel Centre    0;RAIL STUT2;RAIL STUT2;RAIL STUT2;RAIL STUT2;21808;;1900-01-01;2099-12-31;60
ch:1:sboid:101635;101635;Zermatt Rail Travel Brig          O;Zermatt Rail Travel Brig          O;Zermatt Rail Travel Brig          O;Zermatt Rail Travel Brig          O;ZRT BRIG;ZRT BRIG;ZRT BRIG;ZRT BRIG;21809;;1900-01-01;2099-12-31;60
ch:1:sboid:101641;101641;Swiss Holidays ZH Flughafen  O;Swiss Holidays ZH Flughafen  O;Swiss Holidays ZH Flughafen  O;Swiss Holidays ZH Flughafen  O;SHOL ZHFH;SHOL ZHFH;SHOL ZHFH;SHOL ZHFH;21816;;1900-01-01;2099-12-31;60
ch:1:sboid:101642;101642;Adrastea Viaggi Tirano       O;Adrastea Viaggi Tirano       O;Adrastea Viaggi Tirano       O;Adrastea Viaggi Tirano       O;ADRA TIRA;ADRA TIRA;ADRA TIRA;ADRA TIRA;21817;;1900-01-01;2099-12-31;60
ch:1:sboid:101644;101644;You Travel Helsinki          O;You Travel Helsinki          O;You Travel Helsinki          O;You Travel Helsinki          O;YOU HELSIN;YOU HELSIN;YOU HELSIN;YOU HELSIN;21819;;1900-01-01;2099-12-31;60
ch:1:sboid:101645;101645;Bahnurlaub.de Waldmohr       O;Bahnurlaub.de Waldmohr       O;Bahnurlaub.de Waldmohr       O;Bahnurlaub.de Waldmohr       O;BAHN WALDM;BAHN WALDM;BAHN WALDM;BAHN WALDM;21820;;1900-01-01;2099-12-31;60
ch:1:sboid:101646;101646;Basel Tourismus              O;Basel Tourismus              O;Basel Tourismus              O;Basel Tourismus              O;BS TOUR;BS TOUR;BS TOUR;BS TOUR;21821;;1900-01-01;2099-12-31;60
ch:1:sboid:101649;101649;Sutter Hinterzarten          O;Sutter Hinterzarten          O;Sutter Hinterzarten          O;Sutter Hinterzarten          O;SUTTER HIZ;SUTTER HIZ;SUTTER HIZ;SUTTER HIZ;21824;;1900-01-01;2099-12-31;60
ch:1:sboid:101652;101652;Evolution Voyages Paris      O;Evolution Voyages Paris      O;Evolution Voyages Paris      O;Evolution Voyages Paris      O;EVOLUTION;EVOLUTION;EVOLUTION;EVOLUTION;21827;;1900-01-01;2099-12-31;60
ch:1:sboid:101653;101653;Swiss Skicompany Potters Bar O;Swiss Skicompany Potters Bar O;Swiss Skicompany Potters Bar O;Swiss Skicompany Potters Bar O;SWISS S PB;SWISS S PB;SWISS S PB;SWISS S PB;21829;;1900-01-01;2099-12-31;60
ch:1:sboid:101654;101654;Japan Tours Genève           O;Japan Tours Genève           O;Japan Tours Genève           O;Japan Tours Genève           O;JAPAN T GE;JAPAN T GE;JAPAN T GE;JAPAN T GE;21830;;1900-01-01;2099-12-31;60
ch:1:sboid:101656;101656;Voyages et Culture Lausanne  O;Voyages et Culture Lausanne  O;Voyages et Culture Lausanne  O;Voyages et Culture Lausanne  O;VOY CUL LS;VOY CUL LS;VOY CUL LS;VOY CUL LS;21833;;1900-01-01;2099-12-31;60
ch:1:sboid:101240;101240;Verein Dampfbahn Bern;Verein Dampfbahn Bern;Verein Dampfbahn Bern;Verein Dampfbahn Bern;VDBB;VDBB;VDBB;VDBB;9014;;1900-01-01;2099-12-31;12
ch:1:sboid:101241;101241;Mikado 1244;Mikado 1244;Mikado 1244;Mikado 1244;VMik;VMik;VMik;VMik;9015;;1900-01-01;2099-12-31;12
ch:1:sboid:101242;101242;Verein Pazific 01 202;Verein Pazific 01 202;Verein Pazific 01 202;Verein Pazific 01 202;VPac;VPac;VPac;VPac;9016;;1900-01-01;2099-12-31;12
ch:1:sboid:100500;100500;Lebara GmbH;Lebara GmbH;Lebara GmbH;Lebara GmbH;Lebara;Lebara;Lebara;Lebara;597;;1900-01-01;2099-12-31;95
ch:1:sboid:100501;100501;Lyca Mobile AG;Lyca Mobile AG;Lyca Mobile AG;Lyca Mobile AG;LycaMobile;LycaMobile;LycaMobile;LycaMobile;598;;1900-01-01;2099-12-31;95
ch:1:sboid:100502;100502;SweePay AG;SweePay AG;SweePay AG;SweePay AG;SweePay AG;SweePay AG;SweePay AG;SweePay AG;599;;1900-01-01;2099-12-31;95
ch:1:sboid:100506;100506;Automobildienst SBB;Automobildienst SBB;Automobildienst SBB;Automobildienst SBB;SBB Bus;SBB Bus;SBB Bus;SBB Bus;702;;1900-01-01;2099-12-31;30
ch:1:sboid:100507;100507;Postbus ÖBB;Postbus ÖBB;Postbus ÖBB;Postbus ÖBB;POSTBUS A;POSTBUS A;POSTBUS A;POSTBUS A;703;;1900-01-01;2099-12-31;30
ch:1:sboid:100511;100511;Transports Urbains Bruntrutains;Transports Urbains Bruntrutains;Transports Urbains Bruntrutains;Transports Urbains Bruntrutains;TUB;TUB;TUB;TUB;707;;1900-01-01;2099-12-31;30
ch:1:sboid:100512;100512;Elektrobus Zermatt;Elektrobus Zermatt;Elektrobus Zermatt;Elektrobus Zermatt;EBZ;EBZ;EBZ;EBZ;708;;1900-01-01;2099-12-31;30
ch:1:sboid:100513;100513;Mühleggbahn AG;Mühleggbahn AG;Mühleggbahn AG;Mühleggbahn AG;MSG;MSG;MSG;MSG;709;;1900-01-01;2099-12-31;10
ch:1:sboid:100514;100514;Autoservizi Silvestri Livigno;Autoservizi Silvestri Livigno;Autoservizi Silvestri Livigno;Autoservizi Silvestri Livigno;ASL;ASL;ASL;ASL;712;;1900-01-01;2099-12-31;30
ch:1:sboid:100515;100515;Bus urbain de Martigny;Bus urbain de Martigny;Bus urbain de Martigny;Bus urbain de Martigny;BUM;BUM;BUM;BUM;713;;1900-01-01;2099-12-31;30
ch:1:sboid:100518;100518;Ortsbus St. Moritz;Ortsbus St. Moritz;Ortsbus St. Moritz;Ortsbus St. Moritz;OBSM;OBSM;OBSM;OBSM;716;;1900-01-01;2099-12-31;30
ch:1:sboid:100520;100520;Ortsbus Klosters-Serneus;Ortsbus Klosters-Serneus;Ortsbus Klosters-Serneus;Ortsbus Klosters-Serneus;OKS;OKS;OKS;OKS;718;;1900-01-01;2099-12-31;30
ch:1:sboid:100521;100521;Société des Auto-transports du Pied du Jura Vaudois;Société des Auto-transports du Pied du Jura Vaudois;Société des Auto-transports du Pied du Jura Vaudois;Société des Auto-transports du Pied du Jura Vaudois;SAPJV;SAPJV;SAPJV;SAPJV;719;;1900-01-01;2099-12-31;32
ch:1:sboid:101527;101527;Skyways Birmensdorf ZH     O;Skyways Birmensdorf ZH     O;Skyways Birmensdorf ZH     O;Skyways Birmensdorf ZH     O;SKYWAY BIR;SKYWAY BIR;SKYWAY BIR;SKYWAY BIR;21671;;1900-01-01;2099-12-31;60
ch:1:sboid:100667;100667;Transports Vallée de Joux-Yverdon-Ste-Croix (auto ystec);Transports Vallée de Joux-Yverdon-Ste-Croix (auto ystec);Transports Vallée de Joux-Yverdon-Ste-Croix (auto ystec);Transports Vallée de Joux-Yverdon-Ste-Croix (auto ystec);TRAVYS/ays;TRAVYS/ays;TRAVYS/ays;TRAVYS/ays;868;;1900-01-01;2099-12-31;30
ch:1:sboid:100669;100669;Automobildienste Aare Seeland mobil;Automobildienste Aare Seeland mobil;Automobildienste Aare Seeland mobil;Automobildienste Aare Seeland mobil;ASM Auto;ASM Auto;ASM Auto;ASM Auto;870;;1900-01-01;2099-12-31;30
ch:1:sboid:100670;100670;Busland AG;Busland AG;Busland AG;Busland AG;BLAG;BLAG;BLAG;BLAG;871;;1900-01-01;2099-12-31;30
ch:1:sboid:100671;100671;Busland AG Berg;Busland AG Berg;Busland AG Berg;Busland AG Berg;BLAG Berg;BLAG Berg;BLAG Berg;BLAG Berg;872;;1900-01-01;2099-12-31;30
ch:1:sboid:100672;100672;Regionalbus Lenzburg;Regionalbus Lenzburg;Regionalbus Lenzburg;Regionalbus Lenzburg;RBL;RBL;RBL;RBL;873;;1900-01-01;2099-12-31;30
ch:1:sboid:100675;100675;Transports publics Vevey-Montreux-Chillon-Villeneuve;Transports publics Vevey-Montreux-Chillon-Villeneuve;Transports publics Vevey-Montreux-Chillon-Villeneuve;Transports publics Vevey-Montreux-Chillon-Villeneuve;VMCV;VMCV;VMCV;VMCV;876;;1900-01-01;2099-12-31;
ch:1:sboid:101542;101542;Bentour Zürich               O;Bentour Zürich               O;Bentour Zürich               O;Bentour Zürich               O;BENTOUR ZH;BENTOUR ZH;BENTOUR ZH;BENTOUR ZH;21688;;1900-01-01;2099-12-31;60
ch:1:sboid:101543;101543;Südost Reisen Lyss           O;Südost Reisen Lyss           O;Südost Reisen Lyss           O;Südost Reisen Lyss           O;SUEDOST LY;SUEDOST LY;SUEDOST LY;SUEDOST LY;21689;;1900-01-01;2099-12-31;60
ch:1:sboid:101678;101678;ZVV-Contact/VBZ-Fundbüro;ZVV-Contact/VBZ-Fundbüro;ZVV-Contact/VBZ-Fundbüro;ZVV-Contact/VBZ-Fundbüro;ZVVVBZ;ZVVVBZ;ZVVVBZ;ZVVVBZ;21856;;1900-01-01;2099-12-31;60
ch:1:sboid:101679;101679;Agenzie 365;Agenzie 365;Agenzie 365;Agenzie 365;AGENZIE;AGENZIE;AGENZIE;AGENZIE;21857;;1900-01-01;2099-12-31;60
ch:1:sboid:101680;101680;Soleans travel company;Soleans travel company;Soleans travel company;Soleans travel company;SOLEANS;SOLEANS;SOLEANS;SOLEANS;21858;;1900-01-01;2099-12-31;60
ch:1:sboid:101681;101681;American Express GBT;American Express GBT;Amrican Express GBT;American Express GBT;AMEXGBT;AMEXGBT;AMEXGBT;AMEXGBT;21859;;1900-01-01;2099-12-31;60
ch:1:sboid:101682;101682;Girod Viaggi Domodossola;Girod Viaggi Domodossola;Girod Viaggi Domodossola;Girod Viaggi Domodossola;GIROD;GIROD;GIROD;GIROD;21860;;1900-01-01;2099-12-31;60
ch:1:sboid:101683;101683;Intern 01;Intern 01;Intern 01;Intern 01;MVR-cev01;MVR-cev01;MVR-cev01;MVR-cev01;90001;;1900-01-01;2099-12-31;95
ch:1:sboid:101684;101684;Coopérative Pléiades;Coopérative Pléiades;Coopérative Pléiades;Coopérative Pléiades;MVR-cev02;MVR-cev02;MVR-cev02;MVR-cev02;90002;;1900-01-01;2099-12-31;95
ch:1:sboid:101685;101685;ESS Pléiades;ESS Pléiades;ESS Pléiades;ESS Pléiades;MVR-cev03;MVR-cev03;MVR-cev03;MVR-cev03;90003;;1900-01-01;2099-12-31;95
ch:1:sboid:100808;100808;Internationale Schlafwagen-und Touristik-Gesellschaft;Compagnie Internationale des wagons-lits et du tourisme;Internationale Schlafwagen-und Touristik-Gesellschaft;Internationale Schlafwagen-und Touristik-Gesellschaft;CIWLT;CIWLT;CIWLT;CIWLT;1014;;1900-01-01;2099-12-31;11
ch:1:sboid:100809;100809;Rail Manche Finance;Rail Manche Finance;Rail Manche Finance;Rail Manche Finance;RMF;RMF;RMF;RMF;1015;;1900-01-01;2099-12-31;11
ch:1:sboid:100810;100810;HERMES Internationales Produktions-/Planungs-/Steuerungssyst;HERMES Système international de gestion de la production ass;HERMES Internationales Produktions-/Planungs-/Steuerungssyst;HERMES Internationales Produktions-/Planungs-/Steuerungssyst;HIPPS;HIPPS;HIPPS;HIPPS;1016;;1900-01-01;2099-12-31;11
ch:1:sboid:100811;100811;THALYS;THALYS;THALYS;THALYS;THALYS;THALYS;THALYS;THALYS;1018;;1900-01-01;2099-12-31;11
ch:1:sboid:100812;100812;Russische Eisenbahnen;Chemins de fer de Russie;Russische Eisenbahnen;Russian Railways;RZD;RZD;RZD;RZD;1020;;1900-01-01;2099-12-31;11
ch:1:sboid:100813;100813;Belorussische Eisenbahn;Belorussische Eisenbahn;Belorussische Eisenbahn;Byelorussian Railways;BC;BC;BC;BC;1021;;1900-01-01;2099-12-31;11
ch:1:sboid:100814;100814;Ukrainische Eisenbahnen;Ukrainische Eisenbahnen;Ukrainische Eisenbahnen;Ukraine Railways;UZ;UZ;UZ;UZ;1022;;1900-01-01;2099-12-31;11
ch:1:sboid:100815;100815;Moldawische Eisenbahn;Moldawische Eisenbahn;Moldawische Eisenbahn;Moldavian Railways;CFM;CFM;CFM;CFM;1023;;1900-01-01;2099-12-31;11
ch:1:sboid:100816;100816;Litauische Eisenbahn;Litauische Eisenbahn;Litauische Eisenbahn;Lithuanian Railways;LG;LG;LG;LG;1024;;1900-01-01;2099-12-31;11
ch:1:sboid:100817;100817;Lettische Eisenbahn;Lettische Eisenbahn;Lettische Eisenbahn;Lettonian Railways;LDZ;LDZ;LDZ;LDZ;1025;;1900-01-01;2099-12-31;11
ch:1:sboid:100818;100818;Staatlicher Betrieb "Estnische Eisenbahn";Staatlicher Betrieb "Estnische Eisenbahn";Staatlicher Betrieb "Estnische Eisenbahn";State Estonian Railways;EVR;EVR;EVR;EVR;1026;;1900-01-01;2099-12-31;11
ch:1:sboid:100819;100819;Kasachische Eisenbahnen;Kasachische Eisenbahnen;Kasachische Eisenbahnen;Kazakhstian Railways;KZH;KZH;KZH;KZH;1027;;1900-01-01;2099-12-31;11
ch:1:sboid:101133;101133;Interimsfahrplan / Horaire interimaire / Orario ad interim;Interimsfahrplan / Horaire interimaire / Orario ad interim;Interimsfahrplan / Horaire interimaire / Orario ad interim;Interimsfahrplan / Horaire interimaire / Orario ad interim;Extrabus 1;Extrabus 1;Extrabus 1;Extrabus 1;7000;;1900-01-01;2099-12-31;32
ch:1:sboid:101137;101137;Commune d'Anniviers Vissoie;Commune d'Anniviers Vissoie;Commune d'Anniviers Vissoie;Commune d'Anniviers Vissoie;CdA;CdA;CdA;CdA;7004;;1900-01-01;2099-12-31;32
ch:1:sboid:100557;100557;Autobusbetrieb Freienbach;Autobusbetrieb Freienbach;Autobusbetrieb Freienbach;Autobusbetrieb Freienbach;ABF;ABF;ABF;ABF;755;;1900-01-01;2099-12-31;32
ch:1:sboid:100567;100567;Bus commune Sion;Bus commune Sion;Bus commune Sion;Bus commune Sion;BCS;BCS;BCS;BCS;765;;1900-01-01;2099-12-31;30
ch:1:sboid:100907;100907;Stena Line 1 Frederikshavn-Göteborg;Stena Line 1 Frederikshavn-Göteborg;Stena Line 1 Frederikshavn-Göteborg;Stena Line 1 Frederikshavn-Göteborg;St.L 1   $;St.L 1   $;St.L 1   $;St.L 1   $;1774;;1900-01-01;2099-12-31;95
ch:1:sboid:100908;100908;Bodensee-Schifffahrts-Betrieb;Bodensee-Schifffahrts-Betrieb;Bodensee-Schifffahrts-Betrieb;Bodensee-Schifffahrts-Betrieb;BSB      $;BSB      $;BSB      $;BSB      $;1780;;1900-01-01;2099-12-31;95
ch:1:sboid:100909;100909;Zillertalbahn;Zillertalbahn;Zillertalbahn;Zillertalbahn;ZB       $;ZB       $;ZB       $;ZB       $;1781;;1900-01-01;2099-12-31;95
ch:1:sboid:100910;100910;FS 1 Roma Termini-Fiumicino Aeropor;FS 1 Roma Termini-Fiumicino Aeropor;FS 1 Roma Termini-Fiumicino Aeropor;FS 1 Roma Termini-Fiumicino Aeropor;FS 1     $;FS 1     $;FS 1     $;FS 1     $;1783;;1900-01-01;2099-12-31;95
ch:1:sboid:100911;100911;SNCB-Verbindungen via Aachen Süd(Gr.), Vise(fr);SNCB-Verbindungen via Aachen Süd(Gr.), Vise(fr);SNCB-Verbindungen via Aachen Süd(Gr.), Vise(fr);SNCB-Verbindungen via Aachen Süd(Gr.), Vise(fr);SNCB 1   $;SNCB 1   $;SNCB 1   $;SNCB 1   $;1788;;1900-01-01;2099-12-31;95
ch:1:sboid:100915;100915;Ramsgate - Oostende;Ramsgate - Oostende;Ramsgate - Oostende;Ramsgate - Oostende;ATOC     $;ATOC     $;ATOC     $;ATOC     $;1870;;1900-01-01;2099-12-31;95
ch:1:sboid:100917;100917;NSB 1 Myrdal - Flam;NSB 1 Myrdal - Flam;NSB 1 Myrdal - Flam;NSB 1 Myrdal - Flam;NSB 1    $;NSB 1    $;NSB 1    $;NSB 1    $;1876;;1900-01-01;2099-12-31;95
ch:1:sboid:100729;100729;Anteile Kanton Bern;Anteile Kanton Bern;Anteile Kanton Bern;Anteile Kanton Bern;Ant Kt BE;Ant Kt BE;Ant Kt BE;Ant Kt BE;930;;1900-01-01;2011-12-31;95
ch:1:sboid:100742;100742;Cisalpino;Cisalpino;Cisalpino;Cisalpino;Cisalpino;Cisalpino;Cisalpino;Cisalpino;943;;1900-01-01;2012-05-31;80
ch:1:sboid:100745;100745;TGV3 Lausanne/Vallorbe fr (Anteil SBB);TGV3 Lausanne/Vallorbe fr (Anteil SBB);TGV3 Lausanne/Vallorbe fr (Anteil SBB);TGV3 Lausanne/Vallorbe fr (Anteil SBB);TGV3;TGV3;TGV3;TGV3;946;;1900-01-01;1997-05-31;95
ch:1:sboid:100749;100749;Insel Mainau;Insel Mainau;Insel Mainau;Insel Mainau;Mainau;Mainau;Mainau;Mainau;950;;1900-01-01;2012-05-31;50
ch:1:sboid:100756;100756;Fly-outgoing;Fly-outgoing;Fly-outgoing;Fly-outgoing;Fly-out;Fly-out;Fly-out;Fly-out;957;;1900-01-01;2002-08-31;95
ch:1:sboid:100767;100767;Hertz-Zusatzkarte;Hertz-Zusatzkarte;Hertz-Zusatzkarte;Hertz-Zusatzkarte;Hertz;Hertz;Hertz;Hertz;968;;1900-01-01;2002-08-31;95
ch:1:sboid:100770;100770;Inter Rail - Angebot;Inter Rail - Angebot;Inter Rail - Angebot;Inter Rail - Angebot;IR-Ange;IR-Ange;IR-Ange;IR-Ange;971;;1900-01-01;2012-05-31;95
ch:1:sboid:100772;100772;Europass - Angebot;Europass - Angebot;Europass - Angebot;Europass - Angebot;Europass;Europass;Europass;Europass;973;;1900-01-01;2002-08-31;95
ch:1:sboid:100776;100776;Transit Personen Gotthard/Lötschberg;Transit Personen Gotthard/Lötschberg;Transit Personen Gotthard/Lötschberg;Transit Personen Gotthard/Lötschberg;Trs P G/L;Trs P G/L;Trs P G/L;Trs P G/L;977;;1900-01-01;2012-05-31;95
ch:1:sboid:100781;100781;ELVIA-Versicherung;ELVIA-Versicherung;ELVIA-Versicherung;ELVIA-Versicherung;ELVIA/SBB;ELVIA/SBB;ELVIA/SBB;ELVIA/SBB;982;;1900-01-01;2002-08-31;95
ch:1:sboid:100783;100783;Aktion Jugend und Sport (in Koll-Billetten);Aktion Jugend und Sport (in Koll-Billetten);Aktion Jugend und Sport (in Koll-Billetten);Aktion Jugend und Sport (in Koll-Billetten);J + S;J + S;J + S;J + S;984;;1900-01-01;1997-05-31;95
ch:1:sboid:100784;100784;EPR-Spezial (ESG);EPR-Spezial (ESG);EPR-Spezial (ESG);EPR-Spezial (ESG);EPR-Spez;EPR-Spez;EPR-Spez;EPR-Spez;985;;1900-01-01;2002-08-31;95
ch:1:sboid:100785;100785;Reserviert für AI-1;Reserviert für AI-1;Reserviert für AI-1;Reserviert für AI-1;Res AI-1;Res AI-1;Res AI-1;Res AI-1;986;;1900-01-01;1995-12-31;95
ch:1:sboid:100875;100875;Niederländische Eisenbahnen;Chemins de fer néerlandais;Niederländische Eisenbahnen;Netherlands Railways;NS;NS;NS;NS;1084;;1900-01-01;2099-12-31;11
ch:1:sboid:100901;100901;Montafonerbahn;Montafonerbahn;Montafonerbahn;Montafonerbahn;MBS $;MBS $;MBS $;MBS $;1681;;1900-01-01;2099-12-31;95
ch:1:sboid:100902;100902;SNCB Verbindungen Bruxelles Airport;SNCB Verbindungen Bruxelles Airport;SNCB Verbindungen Bruxelles Airport;SNCB Verbindungen Bruxelles Airport;SNCB 4___$;SNCB 4   $;SNCB 4__ $;SNCB     $;1688;;1900-01-01;2099-12-31;95
ch:1:sboid:101243;101243;Vapeur Val-de-Travers (VVT);Vapeur Val-de-Travers (VVT);Vapeur Val-de-Travers (VVT);Vapeur Val-de-Travers (VVT);VVT;VVT;VVT;VVT;9017;;1900-01-01;2099-12-31;12
ch:1:sboid:101244;101244;Eurovapor;Eurovapor;Eurovapor;Eurovapor;ev;ev;ev;ev;9018;;1900-01-01;2099-12-31;12
ch:1:sboid:101245;101245;Ruhrtalbahn;Ruhrtalbahn;Ruhrtalbahn;Ruhrtalbahn;RTal;RTal;RTal;RTal;9019;;1900-01-01;2099-12-31;12
ch:1:sboid:101256;101256;Ausländischer Nahverkehr Italien;Ausländischer Nahverkehr Italien;Ausländischer Nahverkehr Italien;Ausländischer Nahverkehr Italien;ANV ITA  $;ANV ITA  $;ANV ITA  $;ANV ITA  $;9913;;1900-01-01;2099-12-31;99
ch:1:sboid:101257;101257;Fiktive GO für Infoplus;Fiktive GO für Infoplus;Fiktive GO für Infoplus;Fiktive GO für Infoplus;INFOPLUS;INFOPLUS;INFOPLUS;INFOPLUS;9988;;1900-01-01;2099-12-31;99
ch:1:sboid:101258;101258;Unterbruchstrecken DDB-P;Unterbruchstrecken DDB-P;Unterbruchstrecken DDB-P;Unterbruchstrecken DDB-P;Unterbruch;Unterbruch;Unterbruch;Unterbruch;9990;;1900-01-01;2099-12-31;95
